"year","alaska","arizona","arkansas"
1995-01-01,1,2,1
1996-01-01,2,2,1
1997-01-01,2,2,2
1998-01-01,3,2,2
1999-01-01,3,2,2
2000-01-01,3,2,2
2001-01-01,3,2,2
2002-01-01,3,2,2
2003-01-01,3,2,2
2004-01-01,3,2,3
2005-01-01,3,2,3
2006-01-01,3,2,3
2007-01-01,3,2,3
2008-01-01,3,3,3
2009-01-01,3,3,3
2010-01-01,3,3,3
2011-01-01,3,3,3
2012-01-01,3,3,3
2013-01-01,3,3,3
2014-01-01,4,4,3
2015-01-01,4,4,4
