"year","alaska","arizona","arkansas"
"1995",1,2,1
"1996",2,2,1
"1997",2,2,2
"1998",3,2,2
"1999",3,2,2
"2000",3,2,2
"2001",3,2,2
"2002",3,2,2
"2003",3,2,2
"2004",3,2,3
"2005",3,2,3
"2006",3,2,3
"2007",3,2,3
"2008",3,3,3
"2009",3,3,3
"2010",3,3,3
"2011",3,3,3
"2012",3,3,3
"2013",3,3,3
"2014",4,4,3
"2015",4,4,4
